area_name,area_type,ref_period,crime_or_offence,measure_type,value
Scottish Borders,Local Authority,2010/2011,crimes-group-3-other-dishonesty,count,56
East Lothian,Local Authority,2010/2011,offences-group-7-wildlife-offences,count,21
East Lothian,Local Authority,2010/2011,offences-group-7-licensing-offences,count,11
East Lothian,Local Authority,2010/2011,offences-group-8-dangerous-and-careless-driving,count,92
East Lothian,Local Authority,2010/2011,offences-group-7-other-misc-offences,count,0
East Lothian,Local Authority,2010/2011,all-group-7-miscellaneous-offences,count,103
East Lothian,Local Authority,2010/2011,offences-group-6-drunkenness-and-other-disorderly-conduct,count,162
East Lothian,Local Authority,2010/2011,offences-group-7-environmental-offences,count,14
East Lothian,Local Authority,2010/2011,offences-group-7-community-and-public-order-offences,count,57
Angus,Local Authority,2010/2011,offences-group-8-driving-under-the-influence,count,154
Angus,Local Authority,2010/2011,offences-group-8-seat-belt-offences,count,463
Angus,Local Authority,2010/2011,offences-group-7-other-misc-offences,count,7
Angus,Local Authority,2010/2011,offences-group-8-dangerous-and-careless-driving,count,152
East Lothian,Local Authority,2010/2011,offences-group-8-seat-belt-offences,count,368
East Lothian,Local Authority,2010/2011,offences-group-8-driving-under-the-influence,count,155
Angus,Local Authority,2010/2011,offences-group-8-mobile-phone-offences,count,182
East Lothian,Local Authority,2010/2011,offences-group-8-mobile-phone-offences,count,351
East Lothian,Local Authority,2010/2011,crimes-group-4-vandalism,count,1170
East Lothian,Local Authority,2010/2011,all-group-4-damage-and-reckless-behaviour,count,1244
East Lothian,Local Authority,2010/2011,all-group-5-crimes-against-society,count,1090
East Lothian,Local Authority,2010/2011,crimes-group-4-reckless-conduct,count,30
East Lothian,Local Authority,2010/2011,crimes-group-2-communicating-indecently,count,0
East Lothian,Local Authority,2010/2011,crimes-group-2-causing-to-view-sexual-activity-or-images,count,12
East Lothian,Local Authority,2010/2011,crimes-group-3-theft-of-a-motor-vehicle,count,134
East Lothian,Local Authority,2010/2011,crimes-group-2-indecent-photos-of-children,count,0
East Lothian,Local Authority,2010/2011,all-group-6-antisocial-offences,count,883
